plant_id,accession,accession_slug,treatment,replicate,dag_drought_onset,drought_category,fw_g,dw_g,image_side_dir,image_top_dir,available_timepoints,num_images_side,num_images_top,is_dead
24_FabaDr_023,Birgit,Birgit,WHC-30,2,38.0,Late,80.11,8.690000000000001,data/img/side_view/Acc-04 - Birgit/WHC-30%/Rep-2 - 24_FabaDr_023,data/img/top_view/Acc-04 - Birgit/WHC-30%/Rep-2 - 24_FabaDr_023,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_024,Birgit,Birgit,WHC-30,3,38.0,Late,56.22,5.499999999999998,data/img/side_view/Acc-04 - Birgit/WHC-30%/Rep-3 - 24_FabaDr_024,data/img/top_view/Acc-04 - Birgit/WHC-30%/Rep-3 - 24_FabaDr_024,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_025,Tiffany,Tiffany,WHC-80,1,,,168.81,18.41,data/img/side_view/Acc-05 - Tiffany/WHC-80%/Rep-1 - 24_FabaDr_025,data/img/top_view/Acc-05 - Tiffany/WHC-80%/Rep-1 - 24_FabaDr_025,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_026,Tiffany,Tiffany,WHC-80,2,,,102.5,12.419999999999998,data/img/side_view/Acc-05 - Tiffany/WHC-80%/Rep-2 - 24_FabaDr_026,data/img/top_view/Acc-05 - Tiffany/WHC-80%/Rep-2 - 24_FabaDr_026,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_027,Tiffany,Tiffany,WHC-80,3,,,94.9,14.259999999999998,data/img/side_view/Acc-05 - Tiffany/WHC-80%/Rep-3 - 24_FabaDr_027,data/img/top_view/Acc-05 - Tiffany/WHC-80%/Rep-3 - 24_FabaDr_027,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_028,Tiffany,Tiffany,WHC-30,1,14.0,Early,71.04,7.329999999999998,data/img/side_view/Acc-05 - Tiffany/WHC-30%/Rep-1 - 24_FabaDr_028,data/img/top_view/Acc-05 - Tiffany/WHC-30%/Rep-1 - 24_FabaDr_028,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_029,Tiffany,Tiffany,WHC-30,2,14.0,Early,64.78,7.299999999999999,data/img/side_view/Acc-05 - Tiffany/WHC-30%/Rep-2 - 24_FabaDr_029,data/img/top_view/Acc-05 - Tiffany/WHC-30%/Rep-2 - 24_FabaDr_029,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_030,Tiffany,Tiffany,WHC-30,3,14.0,Early,78.42999999999999,7.75,data/img/side_view/Acc-05 - Tiffany/WHC-30%/Rep-3 - 24_FabaDr_030,data/img/top_view/Acc-05 - Tiffany/WHC-30%/Rep-3 - 24_FabaDr_030,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_031,Taifun,Taifun,WHC-80,1,,,141.8,14.989999999999998,data/img/side_view/Acc-06 - Taifun/WHC-80%/Rep-1 - 24_FabaDr_031,data/img/top_view/Acc-06 - Taifun/WHC-80%/Rep-1 - 24_FabaDr_031,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_032,Taifun,Taifun,WHC-80,2,,,131.7,13.620000000000001,data/img/side_view/Acc-06 - Taifun/WHC-80%/Rep-2 - 24_FabaDr_032,data/img/top_view/Acc-06 - Taifun/WHC-80%/Rep-2 - 24_FabaDr_032,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_033,Taifun,Taifun,WHC-80,3,,,114.23999999999998,11.309999999999999,data/img/side_view/Acc-06 - Taifun/WHC-80%/Rep-3 - 24_FabaDr_033,data/img/top_view/Acc-06 - Taifun/WHC-80%/Rep-3 - 24_FabaDr_033,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_034,Taifun,Taifun,WHC-30,1,20.0,Early,67.24,6.879999999999999,data/img/side_view/Acc-06 - Taifun/WHC-30%/Rep-1 - 24_FabaDr_034,data/img/top_view/Acc-06 - Taifun/WHC-30%/Rep-1 - 24_FabaDr_034,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_035,Taifun,Taifun,WHC-30,2,20.0,Early,62.41,5.3199999999999985,data/img/side_view/Acc-06 - Taifun/WHC-30%/Rep-2 - 24_FabaDr_035,data/img/top_view/Acc-06 - Taifun/WHC-30%/Rep-2 - 24_FabaDr_035,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_036,Taifun,Taifun,WHC-30,3,20.0,Early,63.900000000000006,6.700000000000001,data/img/side_view/Acc-06 - Taifun/WHC-30%/Rep-3 - 24_FabaDr_036,data/img/top_view/Acc-06 - Taifun/WHC-30%/Rep-3 - 24_FabaDr_036,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_037,Hedin/2,Hedin_2,WHC-80,1,,,95.48,9.799999999999999,data/img/side_view/Acc-07 - Hedin_2/WHC-80%/Rep-1 - 24_FabaDr_037,data/img/top_view/Acc-07 - Hedin_2/WHC-80%/Rep-1 - 24_FabaDr_037,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_038,Hedin/2,Hedin_2,WHC-80,2,,,64.66,5.459999999999999,data/img/side_view/Acc-07 - Hedin_2/WHC-80%/Rep-2 - 24_FabaDr_038,data/img/top_view/Acc-07 - Hedin_2/WHC-80%/Rep-2 - 24_FabaDr_038,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_039,Hedin/2,Hedin_2,WHC-80,3,,,108.5,10.28,data/img/side_view/Acc-07 - Hedin_2/WHC-80%/Rep-3 - 24_FabaDr_039,data/img/top_view/Acc-07 - Hedin_2/WHC-80%/Rep-3 - 24_FabaDr_039,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_040,Hedin/2,Hedin_2,WHC-30,1,35.0,Late,31.14,2.08,data/img/side_view/Acc-07 - Hedin_2/WHC-30%/Rep-1 - 24_FabaDr_040,data/img/top_view/Acc-07 - Hedin_2/WHC-30%/Rep-1 - 24_FabaDr_040,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_041,Hedin/2,Hedin_2,WHC-30,2,35.0,Late,54.599999999999994,15.57,data/img/side_view/Acc-07 - Hedin_2/WHC-30%/Rep-2 - 24_FabaDr_041,data/img/top_view/Acc-07 - Hedin_2/WHC-30%/Rep-2 - 24_FabaDr_041,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_042,Hedin/2,Hedin_2,WHC-30,3,35.0,Late,45.29,4.75,data/img/side_view/Acc-07 - Hedin_2/WHC-30%/Rep-3 - 24_FabaDr_042,data/img/top_view/Acc-07 - Hedin_2/WHC-30%/Rep-3 - 24_FabaDr_042,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_043,Kontu,Kontu,WHC-80,1,,,177.51999999999998,22.39,data/img/side_view/Acc-08 - Kontu/WHC-80%/Rep-1 - 24_FabaDr_043,data/img/top_view/Acc-08 - Kontu/WHC-80%/Rep-1 - 24_FabaDr_043,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_044,Kontu,Kontu,WHC-80,2,,,128.51999999999998,16.08,data/img/side_view/Acc-08 - Kontu/WHC-80%/Rep-2 - 24_FabaDr_044,data/img/top_view/Acc-08 - Kontu/WHC-80%/Rep-2 - 24_FabaDr_044,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
